ฝันเห็นกก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นต้นกก ทำนายว่า อาจจะเข้าไปอยู่ในสถานการณ์ที่มีคนทะเลาะเบาะแว้งกัน และจะต้องเป็นคนกลางในการไกล่เกลี่ยความขัดแย้งที่เกิดขึ้น หรืออีกแง่หนึ่งจะได้เป็นคนกลางในการช่วยให้คู่รักที่ทะเลาะกันได้ปรับความเข้าใจกันอีกครั้ง | เลขเด็ด: ไม่ระบุ
ฝันเห็นบุญ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 30 , 36 , 39 , 339 , 336 , 359
ฝันเห็นบุตร | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่า มีคนเอาเด็กมายกให้เป็นบุตร หรือคลอดบุตร ทำนายว่า จะต้องเสียของรักหรือเงินทอง | เลขเด็ด: 39 , 41 , 66 , 148 , 339 , 669
ฝันเห็นเบ็ด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 68 , 66 , 668 , 610 , 644
ฝันเห็นเบาะ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเบี้ย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 95 , 98 , 595 , 698 , 699
ฝันเห็นแบกหาม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 29 , 28 , 192 , 882 , 889
ฝันเห็นโบว์ดำ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโบสถ์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 69 , 66 , 609 , 694 , 696
ฝันเห็นโบสถ์พราหมณ์ | การงาน: ฝันเห็นเทวาลัย หรือโบสถ์ พราหมณ์ที่ประดิษฐานเทวรูป หรือฝันเห็นเทวรูปปางต่างๆ  ทำนายว่า จะได้รับการเลื่อนยศหรือตำแหน่งหน้าที่การงาน แต่ถ้าเป็นพ่อค้าจะมีการเปลี่ยนแปลงการค้าหรือโยกย้ายไปในทางไม่สู้ดีนัก | ความรัก: ไม่ชัดเจน | เลขเด็ด: 69 , 66 , 609 , 694 , 696
ฝันเห็นใบไม้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 36 , 35 , 56 , 533 , 556
ฝันเห็นใบลาน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นพ่อ แม่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 55 , 56 , 556 , 559 , 569
ฝันเห็นปฏิกูล | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปฏิทิน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปฏิมา | การงาน: ฝันเห็นพระปฏิมา หรือพระพุทธรูป เป็นความฝันที่ดี  ทำนายว่า ถ้ามีเคราะห์จะหมดสิ้นไป จะได้รับโชคลาภลอย หรือการงานที่ดีโดยไม่คาดฝัน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 91 , 92 , 198 , 199 , 299
ฝันเห็นประกาศนียบัตร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นประคำ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 10 , 18 , 46 , 010 , 018 , 046
ฝันเห็นประเคน | การงาน: ฝันว่าตนเองประเคนของถวายพระสงฆ์ ทำนายว่า จะมีข่าวดีด้านการงาน คนตกงานจะได้งาน ผู้ประกอบธุรกิจจะได้กำไรงาม | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นประโคม | การงาน: ฝันเห็นการประโคมด้วยพิณพาทย์หรือเครื่องสายไทยในงานมงคลใดมงคลหนึ่ง ทำนายว่า จะต้องเสียญาติหรือคนในครอบครัว | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นประเจียด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 48 , 49 , 148 , 149 , 489
ฝันเห็นประแจ | การงาน: ฝันว่าได้นับกุญแจหรือถือวงกุญแจ ทำนายว่าจะได้รับโชคลาภในทางการค้า หรือการพนันเสี่ยงโชค ถ้ารับราชการจะได้เลื่อนตำแหน่งหรือยศสูงขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นประดาน้ำ | การงาน: ฝันเห็นเครื่องประดาน้ำ หรือชุดดำน้ำของมนุษย์กบหรือได้สวมใส่ลงประดาน้ำ  ทำนายว่า จะได้เลื่อนตำแหน่งหน้าที่ในการงาน โดยไม่นึกฝัน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 67 , 247 , 267 , 276
ฝันเห็นประตู | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 24 , 28 , 124 , 128 , 248
ฝันเห็นประตูโบสถ์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นประทัด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นประเทียบ | การงาน: ฝันเห็นรถพระประเทียบ หรือเรือพระประเทียบ (เรือรถฝ่ายในพระสนม)  ทำนายว่า จะได้เลื่อนตำแหน่งหน้าที่ในราชการหรือในที่ทำงานและจะได้รับโชคลาภจากเพศตรงข้าม | ความรัก: ฝันเห็นรถพระประเทียบ หรือเรือพระประเทียบ (เรือรถฝ่ายในพระสนม)  ทำนายว่า จะได้เลื่อนตำแหน่งหน้าที่ในราชการหรือในที่ทำงานและจะได้รับโชคลาภจากเพศตรงข้าม | เลขเด็ด: 56 , 57 , 256 , 367 , 564
ฝันเห็นปรางค์ | การงาน: ถ้าเป็นข้าราชการหรือคนทำงาน จะได้รับตำแหน่งหน้าที่สูงขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปราสาท | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 91 , 97 , 697 , 191 , 297
ฝันเห็นปล้นสะดม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 67 , 69 , 297 , 097 , 677
ฝันเห็นปลวก | การงาน: ฝันว่าปลวกขึ้นภายในบ้าน หรือฝันเห็นจอมปลวกสูงใหญ่ ทำนายว่า จะได้รับเลื่อนตำแหน่งหน้าที่การงานหรือการเงินจะดีขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: 89 , 86 , 789 , 889 , 887
ฝันเห็นปลอก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 08 , 09 , 801 , 901 , 809
ฝันเห็นปล่องไฟ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 10 , 18 , 08 , 180 , 818 , 089
ฝันเห็นปลอบโยน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 06 , 07 , 08 , 106 , 207 , 308
ฝันเห็นปล่อยนก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 86 , 88 , 868 , 881 , 882
ฝันเห็นปลา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 48 , 748 , 708 , 418
ฝันเห็นปลาไหล | การงาน: ทำนายว่า จะได้รับเกียรติยกย่องให้เป็นหัวหน้าดำเนินธุรกิจบางอย่าง ได้รับชื่อเสียงดีเด่นในผลงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปลาไหล | การงาน: ทำนายว่า จะได้รับเกียรติยกย่องให้เป็นหัวหน้าดำเนินธุรกิจบางอย่าง ได้รับชื่อเสียงดีเด่นในผลงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปลิง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 12 , 114 , 110 , 164
ฝันเห็นปลูก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 76 , 78 , 79 , 276 , 778 , 279
ฝันเห็นป้อม | การงาน: ฝันเห็นป้อมหรือปราการ หรือกำแพงวังกำแพงเมืองเก่าๆ ทำนายว่า งานที่กำลังดำเนินอยู่จะมีอุปสรรคขัดขวางหรือมิฉะนั้นจะประสบกับความขาดทุนย่อยยับ หรือถูกโยกย้ายตำแหน่งหน้าที่ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปัสสาวะ | การงาน: ฝันเห็นปัสสาวะ หรือตนเองปัสสาวะ ฉี่ เยี่ยว ทำนายว่า จะได้ลาภได้ยศศักดิ์ในตำแหน่งเพิ่มขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: 22 , 27 , 36 , 227 , 336
ฝันเห็นปาก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปากกา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นป่าเขา | การงาน: หญิงชายใดฝันว่าได้เข้าไปเที่ยวในป่าเขาลำเนาไม้โดดเดี่ยวตามลำพังเป็นที่น่าหวาดเสียว  ทำนายว่า จะมีการโยกย้ายหน้าที่การงานหรือบ้านอยู่ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 43 , 46 , 53 , 434 , 465 , 537
ฝันเห็นป่าช้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปีก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปีนเขา | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 97 , 96 , 297 , 196 , 996
ฝันเห็นปีศาจ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นปืน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 18 , 08 , 188 , 108 , 883
ฝันเห็นเป็ดไก่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 89 , 08 , 788 , 809 , 789
ฝันเห็นเป็ดไก่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 89 , 08 , 788 , 809 , 789
ฝันเห็นเป่า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเปื้อน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแป้งผัดหน้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแปรงผม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแปรงสีฟัน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นไปรษณีย์ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นผดุงครรภ์ | การงาน: ไม่ชัดเจน | ความรัก: ฝันถึงนางผดุงครรภ์ ถ้าเป็นหญิงฝัน  ทำนายว่า จะเสียของหรือเงินทอง ถ้าเป็นชายฝัน  ทำนายว่า จะหมดเคราะห์ และจะได้รับโชคเล็ก ๆ น้อย ๆ จากเพศตรงข้าม | เลขเด็ด: 08 , 09 , 108 , 809 , 089
ฝันเห็นผนัง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 46 , 48 , 246 , 446 , 448
ฝันเห็นผม | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าหัวล้าน ศีรษะล้าน ทำนายว่า จะมีเรื่องไม่ดีเกิดขึ้น เสียของรัก หรือเงินขาดมือ หรือโชคร้าย | เลขเด็ด: 19 , 94 , 191 , 940 , 691
ฝันเห็นผลไม้ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 70 , 71 , 761 , 770 , 708
ฝันเห็นผัก | การงาน: ฝันถึงผักที่มีหัว เช่นหัวผักกาดรับประทานได้ และตัวเองรับประทานเข้าไปด้วย  ทำนายว่า จะมีโชคลาภ ถ้าเป็นผลแตงกวาหรือผลฟักแฟง  ทำนายว่า ที่เจ็บจะหายที่เป็นโรคเรื้อรังก็อาจจะบรรเทาลงไป ถ้าฝันรับประทานหัวหอมหัวกระเทียม  ทำนายว่า งานที่คิดไว้หรือ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นผัดหน้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 95 , 98 , 259 , 298 , 228
ฝันเห็นผ้าข้าว | การงาน: หญิงชายใดฝันว่าได้นุ่งห่มผ้าขาว  ทำนายว่า จะเสียของรักหรือมีเคราะห์ ถ้าฝันว่าได้ซักผ้าขาว จะหมดเคราะห์หรือเปลี่ยนแปลงชีวิตไปในทางดี ถ้าฝันว่าผ้าขาวมีรอยด่างดำเป็นดวงๆ หรือเปื้อนเปรอะ ถ้าได้รับความเสื่อมเสียทางหน้าที่การงาน หรือเดือดร้อน | ความรัก: หญิงชายใดฝันว่าได้นุ่งห่มผ้าขาว  ทำนายว่า จะเสียของรักหรือมีเคราะห์ ถ้าฝันว่าได้ซักผ้าขาว จะหมดเคราะห์หรือเปลี่ยนแปลงชีวิตไปในทางดี ถ้าฝันว่าผ้าขาวมีรอยด่างดำเป็นดวงๆ หรือเปื้อนเปรอะ ถ้าได้รับความเสื่อมเสียทางหน้าที่การงาน หรือเดือดร้อน | เลขเด็ด: 06 , 05 , 506 , 508 , 089
ฝันเห็นผ้าเช็ดตัว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นผ้าเช็ดหน้า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นผ้าดำ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 04 , 46 , 68 , 408 , 468 , 448
ฝันเห็นผ้าไตร | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นผ่าท้อง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 38 , 39 , 308 , 309 , 389
ฝันเห็นผ้าป่า | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 14 , 17 , 417 , 411 , 719 , 718
ฝันเห็นผ้าพันคอ | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นผ้าพันคอ ทำนายว่า คนโสดจะพบกับความรักที่หวานชื่น | เลขเด็ด: ไม่ระบุ
ฝันเห็นผ้าพันแผล | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นผ้าโพกหัว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 95 , 98 , 259 , 298 , 228
ฝันเห็นผิงไฟ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นผิวหนัง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 16 , 33 , 39 , 317 , 339 , 366
ฝันเห็นผี | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 66 , 69 , 606 , 669 , 667
ฝันเห็นผึ้ง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นผู้ชาย | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าอุ้มเด็ก ทำนายว่า คนโสดจะได้คู่ คนมีคู่จะได้ลูก | เลขเด็ด: 31 , 34 , 33 , 361 , 341 , 331
ฝันเห็นเผาศพ | การงาน: ฝันว่าตนเองได้ไปงานเผาศพ หรือจับต้องศพหรือได้เห็นศพกำลังเผา  ทำนายว่า จะประสบโชคลาภทางการเงินและการค้าดีขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: 04 , 46 , 68 , 408 , 468 , 448
ฝันเห็นแผ่นดินไหว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 26 , 66 , 266 , 629 , 696
ฝันเห็นแผล | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นไผ่ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 11 , 16 , 116 , 119 , 112
ฝันเห็นฝักดาบ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฝุ่น | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นแฝก | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นหญ้าแฝกมุงหลังคา ทำนายว่า จะมีคนคุ้มภัยแต่ต้องเสียของรัก | เลขเด็ด: ไม่ระบุ
ฝันเห็นไฝ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นฝน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 65 , 67 , 66 , 265 , 368
ฝันเห็นฝนครึ้ม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 65 , 67 , 66 , 265 , 368
ฝันเห็นฝั่ง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 02 , 06 , 206 , 204 , 604
ฝันเห็นฝังศพ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 02 , 06 , 206 , 204 , 604
ฝันเห็นฝ่าเท้า | การงาน: หญิงชายใดฝันว่า ฝ่าเท้าเจ็บ หรือถูกของมีคมตำฝ่าเท้า จะได้รับเคราะห์จากคนภายในบ้าน หรือในที่ทำงานนำมาสู่แต่จะมีทุกข์ลาภ | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 49 , 047 , 497 , 475
ฝันเห็นฝี | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 33 , 36 , 336 , 356 , 368
ฝันเห็นแฝด | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 22 , 44 , 66 , 662 , 442 , 664
ฝันเห็นพญานาค | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 59 , 56 , 19 , 569 , 655 , 685
ฝันเห็นพนมมือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 01 , 05 , 101 , 105 , 115
ฝันเห็นพนัน | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นพรม | การงาน: ฝันเห็นพรมผืนใหญ่ ได้จับต้อง และนั่งบนพรมผืนนั้นเป็นปกติ  ทำนายว่า จะได้รับการเลื่อนตำแหน่งหน้าที่ หรือมีการเดือนทางไปต่างประเทศ และเป็นการเดินทางไปดีปลอดภัย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 48 , 49 , 418 , 419 , 489
ฝันเห็นพรวน | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นลูกพรวนหรือกระพรวน หรือได้ยินเสียงลูกกระพรวนดังถนัดชัดเจน ถ้าในฝันเห็นกระพรวนนั้นสวมที่เท้าเด็กเล็กๆ  ทำนายว่า จะได้รับข่าวดีหรือโชคดีในไม่ช้า ถ้าเป็นหญิงตั้งครรภ์  ทำนายว่า จะได้บุตรแสนดีน่ารัก ถ้าเป็นชายฝัน จะได้รับโชคลาภทางการเสี่ยง | เลขเด็ด: 07 , 47 , 745
ฝันเห็นพระ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 47 , 97 , 474 , 907 , 477
ฝันเห็นพระจันทร์ | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าได้เห็นพระจันทร์ทอแสงสุกปลั่งเต็มดวง  ทำนายว่า จะได้รับโชคลาภ หรือได้บุตรเป็นหญิงน่ารักใคร่ | เลขเด็ด: 07 , 87 , 708 , 781 , 370
ฝันเห็นพระบรมรูป | การงาน: หญิงชายใดฝันว่า ได้ไปถวายบังคมพระบรมรูปของสมเด็จพระเจ้าอยู่หัวในอดีต ทำนายว่า จะได้รับโชคลาภทางการงานและการเงิน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 59 , 58 , 259 , 459 , 458
ฝันเห็นพระพรหม | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 89 , 88 , 189 , 288 , 119
ฝันเห็นพระพุทธบาท | การงาน: หญิงชายใดฝันว่าได้ไปเป็นพระพุทธบาทหรือได้นมัสการพระพุทธบาทโดยไม่เคยไปมาก่อน  ทำนายว่า จะได้รับโชคลาภ และการงานในหน้าที่จะได้รับเลื่อน (นิมิตนี้ให้เดินทางไปทำการนมัสการพระพุทธบาทจะเป็นมงคลยิ่ง) | ความรัก: ไม่ชัดเจน | เลขเด็ด: 95 , 98 , 509 , 589 , 559
ฝันเห็นพระวิหาร | การงาน: ถ้าเป็นข้าราชการหรือคนทำงาน จะได้รับตำแหน่งหน้าที่สูงขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นพระอาทิตย์ | การงาน: ไม่ชัดเจน | ความรัก: ฝันว่าได้เห็นดวงอาทิตย์เปล่งรัศมีลงมาสู่พื้นดิน แต่ไม่บังเกิดความร้อน ทำนายว่า จะเป็นศุภมิตรอันดีแก่ชีวิต หรือจะได้บุตรเป็นชายมีสง่าน่ารัก | เลขเด็ด: 09 , 08 , 709 , 818 , 910
ฝันเห็นพริก | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นพลับพลา | การงาน: หญิงชายใดฝันเห็นพลับพลาในงานพิธีต่างๆ หรือพลับพลารับเสด็จ  ทำนายว่า จะได้รับโชคดีจากหน้าที่การงานหรือการค้าขาย | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 49 , 149 , 244 , 249
ฝันเห็นพวงกุญแจ | การงาน: ฝันว่าได้นับกุญแจหรือถือวงกุญแจ ทำนายว่าจะได้รับโชคลาภในทางการค้า หรือการพนันเสี่ยงโชค ถ้ารับราชการจะได้เลื่อนตำแหน่งหรือยศสูงขึ้น | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นพวงมาลัย | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 00 , 08 , 09 , 00 , 08 , 09 , 008 , 009
ฝันเห็นพัด | การงาน: ฝันว่าหยิบพัดขึ้นมาโบกพัดให้ร่างกาย หรือมีคนเอาพัดมาโบกพัดร่างกายเรา  ทำนายว่า จะได้รับเคราะห์เล็กๆ น้อยๆ จากการอิจฉาของผู้อยู่ไกลหรือร่วมงาน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 46 , 468 , 448 , 488
ฝันเห็นพาน | การงาน: หญิงชายใดฝันว่าได้จับพานเงินพานทอง  ทำนายว่า จะได้รับการอุปถัมภ์จากผู้ใหญ่ หรือมีโชคลาภการค้าขายและนายหน้า | ความรัก: ไม่ชัดเจน | เลขเด็ด: 32 , 339 , 336 , 369
ฝันเห็นพายเรือ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นพายุ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 45 , 47 , 245 , 446 , 447
ฝันเห็นพิราบ | การงาน: ไม่ชัดเจน | ความรัก: ฝันเห็นนกพิราบ ได้จับต้องลูบคลำ  ทำนายว่า จะได้รับความสุขร่มเย็นภายในครอบครัว คนที่เป็นศัตรูหรือคู่อาฆาตจะกลับมาเป็นมิตรดี | เลขเด็ด: 35 , 39 , 30 , 365 , 339 , 306
ฝันเห็นพูด | การงาน: ฝันว่าได้พูดคุยกับคนอื่น โบราณท่านว่าให้จัดเครื่องบูชาพระรัตนตรัยเอาเคล็ด แล้วการงานจะประสบความสำเร็จ | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเพชรพลอย | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่าได้เพชรพลอยสุกปลั่งในมือ หรือได้เห็นแสงประกายของเพชรส่องรัศมี  ทำนายว่า หญิงมีครรภ์ จะได้บุตรเป็นที่รัก และวาสนาดี ชายโสดจะได้พบเนื้อคู่อุปถัมภ์ ชายมีเรือนแล้วจะได้บุตรหรือมีโชคลาภทางการค้า | เลขเด็ด: 88 , 89 , 288 , 289 , 209
ฝันเห็นเพลิง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นเพศสัมพันธ์ | การงาน: ไม่ชัดเจน | ความรัก: หญิงชายใดฝันว่าได้ร่วมรัก หลับนอน จะได้รับข่าวจากญาติมิตรทางไกล หรือคนในบ้านจะมีเหตุร้าย ระวังทรัพย์สินจะเสียหาย จะหมดเคราะห์และได้ลาภตามมาภายหลัง | เลขเด็ด: ไม่ระบุ
ฝันเห็นเพื่อน | การงาน: ฝันเห็นเพื่อนที่จากไปไกล หรือฝันถึงเพื่อนที่ตายไปแล้ว  ทำนายว่า จะได้รับข่าวดีจากมิตรทางไกล หรือข่าวดีในหน้าที่การงานและการค้า | ความรัก: ไม่ชัดเจน | เลขเด็ด: 61 , 64 , 346 , 326 , 316
ฝันเห็นแพ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 22 , 66 , 99 , 622 , 269 , 299
ฝันเห็นแพรพรรณ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 33 , 35 , 38 , 133 , 235 , 338
ฝันเห็นแพะ | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: ไม่ระบุ
ฝันเห็นโพกหัว | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 95 , 98 , 259 , 298 , 228
ฝันเห็นโพงพาง | การงาน: ไม่ชัดเจน | ความรัก: ไม่ชัดเจน | เลขเด็ด: 44 , 46 , 468 , 448 , 488
